"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter"
"2042","1.687","4d:be:63:3e:45:54","LE 1M","LE LL","25","368\302\265s","","","","0"
"2043","1.688","fa:0d:ac:60:77:f4","LE 1M","LE LL","35","2313\302\265s","","","","0"
"2044","1.689","fa:0d:ac:60:77:f4","LE 1M","LE LL","35","832\302\265s","","","","0"
"2045","1.689","fa:0d:ac:60:77:f4","LE 1M","LE LL","35","360\302\265s","","","","0"
"2046","1.690","82:e8:2c:83:3b:90","LE 1M","LE LL","35","1073\302\265s","","","","0"
"2047","1.691","82:e8:2c:83:3b:90","LE 1M","LE LL","35","832\302\265s","","","","0"
"2048","1.691","82:e8:2c:83:3b:90","LE 1M","LE LL","35","359\302\265s","","","","0"
"2049","1.692","00:7d:c4:73:eb:8d","LE 1M","LE LL","37","2041\302\265s","","","","0"
"2050","1.693","00:7d:c4:73:eb:8d","LE 1M","LE LL","37","181\302\265s","","","","0"
"2051","1.694","00:7d:c4:73:eb:8d","LE 1M","LE LL","37","179\302\265s","","","","0"
"2052","1.695","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","1553\302\265s","","","","0"
"2053","1.695","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2054","1.696","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2055","1.697","0e:22:ea:02:0f:bb","LE 1M","LE LL","37","737\302\265s","","","","0"
"2056","1.698","0e:22:ea:02:0f:bb","LE 1M","LE LL","37","196\302\265s","","","","0"
"2057","1.698","0e:22:ea:02:0f:bb","LE 1M","LE LL","37","194\302\265s","","","","0"
"2058","1.699","27:cc:97:c0:75:84","LE 1M","LE LL","37","526\302\265s","","","","0"
"2059","1.699","27:cc:97:e0:75:84","LE 1M","LE LL","37","180\302\265s","","","","0"
"2060","1.700","27:cc:97:e0:75:84","LE 1M","LE LL","37","178\302\265s","","","","0"
"2061","1.700","SamsungE_1e:18:bf","LE 1M","LE LL","34","689\302\265s","","","","0"
"2062","1.701","01:61:72:42:77:a7","LE 1M","LE LL","37","350\302\265s","","","","0"
"2063","1.702","01:61:72:42:77:a7","LE 1M","LE LL","37","194\302\265s","","","","0"
"2064","1.703","2b:30:4f:37:6b:88","LE 1M","LE LL","34","5324\302\265s","","","","0"
"2065","1.703","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","9597\302\265s","","","","0"
"2066","1.704","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2067","1.705","55:01:2a:98:35:1d","LE 1M","LE LL","23","5917\302\265s","","","","0"
"2068","1.705","51:48:89:c2:ea:aa","LE 1M","LE LL","37","2654\302\265s","","","","0"
"2069","1.706","51:48:89:c2:ea:aa","LE 1M","LE LL","37","157\302\265s","","","","0"
"2070","1.706","7c:37:7d:f1:15:83","LE 1M","LE LL","24","2487\302\265s","","","","0"
"2071","1.707","7c:37:7d:f1:15:83","LE 1M","LE LL","24","1038\302\265s","","","","0"
"2072","1.708","7c:37:7d:f1:15:83","LE 1M","LE LL","24","398\302\265s","","","","0"
"2073","1.709","SamsungE_1e:32:63","LE 1M","LE LL","37","1021\302\265s","","","","0"
"2074","1.710","0c:ea:48:3e:92:63","LE 1M","LE LL","37","1186\302\265s","","","","0"
"2075","1.711","SamsungE_1e:32:63","LE 1M","LE LL","37","562\302\265s","","","","0"
"2076","1.711","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","6820\302\265s","","","","0"
"2077","1.712","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2078","1.713","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2079","1.713","SamsungE_1e:32:63","LE 1M","LE LL","37","1127\302\265s","","","","0"
"2080","1.714","SamsungE_1e:31:63","LE 1M","LE LL","37","561\302\265s","","","","0"
"2081","1.715","SamsungE_1e:32:63","LE 1M","LE LL","37","562\302\265s","","","","0"
"2082","1.715","06:94:a3:57:80:5b","LE 1M","LE LL","37","2217\302\265s","","","","0"
"2083","1.716","06:94:a3:57:80:5b","LE 1M","LE LL","37","178\302\265s","","","","0"
"2084","1.716","06:94:a3:57:80:5b","LE 1M","LE LL","37","178\302\265s","","","","0"
"2085","1.717","45:1f:ef:b5:41:fd","LE 1M","LE LL","34","838\302\265s","","","","0"
"2086","1.718","4d:2f:ef:b5:41:fd","LE 1M","LE LL","34","403\302\265s","","","","0"
"2087","1.719","45:1f:ef:d5:41:fd","LE 1M","LE LL","34","402\302\265s","","","","0"
"2088","1.719","16:79:cc:6c:ea:aa","LE 1M","LE LL","36","347\302\265s","","","","0"
"2089","1.720","2b:89:b3:73:ef:0b","LE 1M","LE LL","34","8347\302\265s","","","","0"
